,titles,author,pages,genres,pub_date,publisher,google_ratings,total_google_ratings,maturity,price,ebook,index,id,book_id,books_count,original_publication_year,original_title,short_title,language_code,goodbook_rating,ratings_count,work_ratings_count,work_text_reviews_count,main_tag,secondary_tag,minor_tag
2222,"Eve (Eve, #1)",Anna Carey,352,Young Adult Fiction,2011-10-04,Harper Collins,3.5,83,NOT_MATURE,3.74,True,3782,3783,9297774,21,2011.0,Eve,"Eve (Eve, #1)",en-US,3.69,34746,37764,3334,dystopian,young-adult,dystopia
2223,"Evelyn, After",Victoria Helen Stone,,Fiction,2016-11-01,Lake Union Publishing,,,NOT_MATURE,,False,8712,8713,31194270,5,2016.0,"Evelyn, After","Evelyn, After",en-CA,3.64,9255,14969,836,,,
2224,Even Cowgirls Get the Blues,Tom Robbins,384,Fiction,2003-06-17,Bantam,3.5,18,NOT_MATURE,12.99,True,2024,2025,7572,47,1976.0,Even Cowgirls Get the Blues,Even Cowgirls Get the Blues,eng,3.74,40840,43976,1609,fiction,humor,novels
2225,"Even Now (Lost Love, #1)",Karen Kingsbury,484,Birthmothers,2010-05-21,ReadHowYouWant.com,4.5,37,NOT_MATURE,,False,4918,4919,289644,20,2005.0,Even Now,"Even Now (Lost Love, #1)",en-US,4.26,18120,18865,566,christian-fiction,karen-kingsbury,christian
2226,Evening Class,Maeve Binchy,544,Fiction,2007-09-04,Dell,4.0,20,NOT_MATURE,7.99,True,3135,3136,41967,74,1996.0,Evening Class,Evening Class,en-GB,3.98,32639,34551,856,fiction,maeve-binchy,chick-lit
2227,"Eventide (Plainsong, #2)",Kent Haruf,320,Fiction,2004-05-04,Vintage,4.0,34,NOT_MATURE,9.99,True,7709,7710,89884,29,2004.0,Eventide,"Eventide (Plainsong, #2)",eng,4.16,12661,14087,1302,fiction,literary-fiction,colorado
2228,"Ever After (Lost Love, #2)",Karen Kingsbury,484,"Iraq War, 2003-2011",2010-10-08,ReadHowYouWant.com,4.0,44,NOT_MATURE,,False,9300,9301,11429,19,2006.0,Ever After,"Ever After (Lost Love, #2)",en-US,4.31,9685,9949,357,christian-fiction,karen-kingsbury,christian
2229,"Ever After (The Hollows, #11)",Kim Harrison,528,Fiction,2013-01-22,Harper Collins,4.0,40,NOT_MATURE,7.99,True,5575,5576,13241659,15,2013.0,,"Ever After (The Hollows, #11)",eng,4.45,22312,26031,1997,urban-fantasy,fantasy,paranormal
2230,"Everbound (Everneath, #2)",Brodi Ashton,432,Juvenile Fiction,2013-02-14,Simon and Schuster,4.0,19,NOT_MATURE,,False,9217,9218,13115995,15,2013.0,Everbound,"Everbound (Everneath, #2)",en-US,4.06,15865,16560,1678,young-adult,fantasy,paranormal
2231,Evergreen,Belva Plain,704,Fiction,2009-12-16,Dell,3.5,3,NOT_MATURE,8.99,True,3970,3971,182496,23,1978.0,Evergreen,Evergreen,eng,3.98,23790,24231,247,historical-fiction,fiction,romance
2232,"Everlasting (The Immortals, #6)",Alyson Noel,336,Young Adult Fiction,2011-06-07,St. Martin's Griffin,4.5,8,NOT_MATURE,7.8,True,3030,3031,9395215,49,2011.0,Everlasting,"Everlasting (The Immortals, #6)",eng,3.92,38185,40766,1683,young-adult,fantasy,paranormal
2233,"Everlost (Skinjacker, #1)",Neal Shusterman,320,Juvenile Fiction,2008-06-20,Simon and Schuster,4.5,34,NOT_MATURE,9.99,True,5015,5016,688191,35,2006.0,Everlost,"Everlost (Skinjacker, #1)",eng,3.94,24506,25778,2431,fantasy,young-adult,paranormal
2234,"Evermore (The Immortals, #1)",Alyson Noel,320,Young Adult Fiction,2009-02-03,St. Martin's Griffin,4.0,304,NOT_MATURE,9.95,True,414,415,3975774,78,2009.0,Evermore,"Evermore (The Immortals, #1)",en-US,3.59,230031,235704,9228,young-adult,fantasy,paranormal
2235,"Everneath (Everneath, #1)",Brodi Ashton,432,Juvenile Fiction,2013-02-14,Simon and Schuster,4.0,19,NOT_MATURE,,False,4157,4158,9413044,26,2012.0,Everneath,"Everneath (Everneath, #1)",en-US,3.76,36153,38028,4343,young-adult,fantasy,paranormal
2236,"Evernight (Evernight, #1)",Claudia Gray,384,Young Adult Fiction,2011-03-08,Harper Collins,3.5,18,NOT_MATURE,5.99,True,2133,2134,2722413,52,2008.0,Evernight,"Evernight (Evernight, #1)",en-US,3.64,63486,67136,3117,young-adult,vampires,paranormal
2237,"Every Boy's Got One (Boy, #3)",Meg Cabot,352,Fiction,2009-03-17,Zondervan,3.5,17,NOT_MATURE,8.74,True,5516,5517,23223,27,2004.0,"Every Boy's Got One (Boy, #3)","Every Boy's Got One (Boy, #3)",en-GB,3.77,19771,21653,911,chick-lit,romance,meg-cabot
2238,"Every Day (Every Day, #1)",David Levithan,304,Young Adult Fiction,2012-08-28,Knopf Books for Young Readers,4.0,123,NOT_MATURE,7.99,True,836,837,13262783,66,2012.0,Every Day,"Every Day (Every Day, #1)",eng,3.99,121863,133960,15539,young-adult,contemporary,romance
2239,"Every Dead Thing (Charlie Parker, #1)",John Connolly,512,Fiction,2015-06-16,Simon and Schuster,3.5,33,NOT_MATURE,,False,6375,6376,175242,67,1999.0,Every Dead Thing,"Every Dead Thing (Charlie Parker, #1)",eng,4.01,14390,16618,1113,mystery,thriller,crime
2240,Every Fifteen Minutes,Lisa Scottoline,448,Fiction,2015-04-14,St. Martin's Press,3.5,25,NOT_MATURE,9.99,True,5038,5039,21853628,17,2015.0,,Every Fifteen Minutes,en-CA,3.72,16765,20212,2497,mystery,fiction,thriller
2241,Every Last One,Anna Quindlen,320,Fiction,2010-04-13,Random House,4.0,80,NOT_MATURE,12.99,True,3811,3812,7468160,21,2010.0,,Every Last One,eng,3.83,26623,29350,4213,fiction,contemporary-fiction,contemporary
2242,Every Last Word,Tamara Ireland Stone,368,Juvenile Fiction,2015-06-16,Disney Electronic Content,4.0,2346,NOT_MATURE,9.99,True,7914,7915,23341894,17,2015.0,Every Last Word,Every Last Word,eng,4.2,19214,20437,3021,young-adult,contemporary,mental-illness
2243,Every Man Dies Alone,Hans Fallada,588,Fiction,2010-01-28,Penguin UK,4.5,63,NOT_MATURE,,False,7146,7147,3344411,86,1947.0,Jeder stirbt für sich allein,Every Man Dies Alone,eng,4.21,6838,15445,2062,fiction,historical-fiction,favourites
2244,Every Soul a Star,Wendy Mass,336,Juvenile Fiction,2008-10-01,"Little, Brown Books for Young Readers",4.0,43,NOT_MATURE,4.99,True,6642,6643,3223761,19,2008.0,Every Soul A Star,Every Soul a Star,eng,4.1,17282,18138,1653,realistic-fiction,young-adult,middle-grade
2245,Every Thing on It,Shel Silverstein,208,"Children's poetry, American",2012,Puffin,5.0,1,NOT_MATURE,,False,8618,8619,10659536,10,2011.0,Every Thing On It,Every Thing on It,,4.39,11547,11630,533,childrens,humor,children
2246,"Every Which Way But Dead (The Hollows, #3)",Kim Harrison,512,Fiction,2009-10-13,Harper Collins,4.0,44,NOT_MATURE,4.99,True,2305,2306,30263,42,2005.0,Every Which Way But Dead,"Every Which Way But Dead (The Hollows, #3)",en-US,4.29,56023,59163,1240,urban-fantasy,fantasy,paranormal
2247,Everyday Food: Great Food Fast,Martha Stewart,384,Cooking,2007,Clarkson Potter,4.5,18,NOT_MATURE,,False,7059,7060,335459,3,2007.0,Everyday Food: Great Food Fast,Everyday Food: Great Food Fast,eng,3.93,11969,11973,145,cookbooks,cooking,food
2248,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,256,Cooking,2010-10-20,Clarkson Potter,4.0,265,NOT_MATURE,,False,2743,2744,1192,4,2005.0,Everyday Italian: 125 Simple and Delicious Recipes,Everyday Italian: 125 Simple and Delicious Recipes,,3.97,32751,32871,209,cookbooks,cooking,food
2249,Everyman,Philip Roth,192,Fiction,2006-05-09,Houghton Mifflin Harcourt,3.5,48,NOT_MATURE,9.99,True,7793,7794,50695,76,2006.0,Everyman,Everyman,eng,3.54,10298,12700,1283,fiction,literature,novels
2250,Everyone Brave is Forgiven,Chris Cleave,448,Fiction,2017-03-07,Simon and Schuster,3.5,1482,NOT_MATURE,,False,5737,5738,25814512,37,2016.0,Everyone Brave Is Forgiven,Everyone Brave is Forgiven,eng,3.8,16183,20386,3113,historical-fiction,fiction,wwii
2251,Everyone Worth Knowing,Lauren Weisberger,384,Fiction,2006-05-02,Simon and Schuster,3.5,9,NOT_MATURE,,False,1429,1430,29547,85,2005.0,Everyone Worth Knowing,Everyone Worth Knowing,en-US,3.39,59932,62880,1936,chick-lit,fiction,chicklit
2252,Everything I Never Told You,Celeste Ng,297,Fiction,2015,Penguin,4.0,123,NOT_MATURE,,False,667,668,18693763,62,2014.0,Everything I Never Told You,Everything I Never Told You,eng,3.78,108703,134550,15177,audiobooks,audio,fiction
2253,Everything Is Illuminated,Jonathan Safran Foer,288,Fiction,2013-09-03,Houghton Mifflin Harcourt,3.5,206,NOT_MATURE,9.99,True,586,587,256566,107,2002.0,Everything Is Illuminated,Everything Is Illuminated,eng,3.9,131492,144312,7019,fiction,historical-fiction,contemporary
2254,Everything Leads to You,Nina LaCour,336,Juvenile Fiction,2015-05-05,Penguin,4.5,4,NOT_MATURE,,False,7361,7362,18667779,6,2014.0,Everything Leads to You,Everything Leads to You,eng,3.89,17583,18734,2191,lgbt,young-adult,contemporary
2255,Everything That Rises Must Converge: Stories,Flannery O'Connor,320,Fiction,1965-01-01,"Farrar, Straus and Giroux",4.0,26,NOT_MATURE,9.99,True,6862,6863,218659,37,1965.0,Everything that Rises Must Converge,Everything That Rises Must Converge: Stories,eng,4.27,14534,15025,873,short-stories,fiction,classics
2256,"Everything We Keep (Everything We Keep, #1)",Kerry Lonsdale,296,Fiction,2016-08-01,Lake Union Publishing,4.5,2,NOT_MATURE,,False,2331,2332,29639736,15,2016.0,Everything We Keep,"Everything We Keep (Everything We Keep, #1)",eng,3.84,69018,69567,3734,fiction,mystery,romance
2257,Everything's Eventual: 14 Dark Tales,Stephen King,464,Fiction,2007-05-01,Simon and Schuster,3.5,52,NOT_MATURE,,False,1588,1589,10579,93,2002.0,Everything's Eventual: 14 Dark Tales,Everything's Eventual: 14 Dark Tales,eng,3.94,60932,67337,1715,horror,short-stories,fiction
2258,"Everything, Everything",Nicola Yoon,240,Juvenile Fiction,2015-09-01,Penguin,4.5,6,NOT_MATURE,,False,1452,1453,18692431,86,2015.0,"Everything, Everything","Everything, Everything",eng,4.11,132552,150407,23712,young-adult,contemporary,romance
2259,Evicted: Poverty and Profit in the American City,Matthew Desmond,448,Social Science,2016-03-01,Broadway Books,,,NOT_MATURE,12.99,True,8361,8362,25852784,16,2016.0,Evicted: Poverty and Profit in the American City,Evicted: Poverty and Profit in the American City,eng,4.48,15165,17326,3019,non-fiction,sociology,politics
2260,"Evil Star (The Gatekeepers, #2)",Anthony Horowitz,320,Juvenile Fiction,2012-04-01,Scholastic Inc.,5.0,2,NOT_MATURE,5.99,True,8760,8761,107670,53,2006.0,Evil Star,"Evil Star (The Gatekeepers, #2)",,3.98,12391,14255,448,fantasy,young-adult,anthony-horowitz
2261,"Evil Under the Sun (Hercule Poirot, #23)",Agatha Christie,272,Fiction,2006-10-03,Harper Collins,3.5,24,NOT_MATURE,9.99,True,4239,4240,16305,200,1941.0,Evil Under the Sun,"Evil Under the Sun (Hercule Poirot, #23)",eng,3.94,28776,32094,954,agatha-christie,crime,fiction
2262,"Evil at Heart (Archie Sheridan & Gretchen Lowell, #3)",Chelsea Cain,352,Fiction,2011-10-04,St. Martin's Press,4.0,74,NOT_MATURE,,False,8883,8884,6193923,33,2009.0, Evil at Heart,"Evil at Heart (Archie Sheridan & Gretchen Lowell, #3)",eng,4.03,10884,12383,948,mystery,thriller,fiction
2263,"Ex-Heroes (Ex-Heroes, #1)",Peter Clines,330,Fiction,2013-02-26,Broadway Books,3.5,36,NOT_MATURE,,False,7764,7765,16479439,28,2010.0,Ex-Heroes,"Ex-Heroes (Ex-Heroes, #1)",,3.87,5354,12111,1258,horror,science-fiction,sci-fi
2264,"Excalibur (The Warlord Chronicles, #3)",Bernard Cornwell,448,Fiction,1999-07-16,St. Martin's Press,4.0,10,NOT_MATURE,9.99,True,6680,6681,68521,57,1997.0,Excalibur,"Excalibur (The Warlord Chronicles, #3)",,4.38,12925,15034,436,historical-fiction,fantasy,fiction
2265,Excavation,James Rollins,544,Fiction,2010-04-27,Harper Collins,3.5,13,NOT_MATURE,,False,7721,7722,294043,34,2000.0,Excavation,Excavation,en-US,4.02,13148,14341,506,thriller,adventure,fiction
2266,"Excession (Culture, #5)",Iain M. Banks,352,Fiction,2007-10-19,Simon and Schuster,3.5,30,NOT_MATURE,,False,5665,5666,12013,23,1996.0,Excession,"Excession (Culture, #5)",en-US,4.19,16330,18833,737,science-fiction,sci-fi,fiction
2267,Execution: The Discipline of Getting Things Done,Larry Bossidy,304,Business & Economics,2009-11-10,Crown Business,3.0,9,NOT_MATURE,14.99,True,4822,4823,1635,37,2009.0,,Execution: The Discipline of Getting Things Done,en-US,3.83,18065,18545,313,business,leadership,management
2268,"Executive Orders (Jack Ryan Universe, #9)",Tom Clancy,1358,Fiction,1997,Penguin,3.5,17,NOT_MATURE,,False,2665,2666,19675,63,1996.0,Executive Orders,"Executive Orders (Jack Ryan Universe, #9)",eng,4.04,35513,38559,505,fiction,thriller,tom-clancy
2269,"Executive Power (Mitch Rapp, #6)",Vince Flynn,517,Fiction,2010-05-25,Simon and Schuster,4.0,14,NOT_MATURE,,False,3166,3167,777211,45,2003.0,Executive Power,"Executive Power (Mitch Rapp, #6)",en-US,4.33,28205,30930,654,vince-flynn,fiction,thriller
2270,"Exile (Forgotten Realms: The Dark Elf Trilogy, #2; Legend of Drizzt, #2)",R.A. Salvatore,352,Fiction,2009-06-23,Wizards of the Coast,3.5,3,NOT_MATURE,,False,2415,2416,66678,47,1990.0,Exile ,"Exile (Forgotten Realms: The Dark Elf Trilogy, #2; Legend of Drizzt, #2)",eng,4.24,37728,41383,674,fantasy,forgotten-realms,fiction
2271,"Exile's Return (Conclave of Shadows, #3)",Raymond E. Feist,384,Fiction,2009-10-13,Harper Collins,3.5,17,NOT_MATURE,7.74,True,9073,9074,13809,35,2004.0,Exile's Return,"Exile's Return (Conclave of Shadows, #3)",,4.0,10840,11744,104,fantasy,fiction,raymond-e-feist
2272,"Existence (Existence Trilogy, #1)",Abbi Glines,161,Juvenile Fiction,2012-04-01,,5.0,4,NOT_MATURE,,False,2867,2868,13223520,14,2004.0,,"Existence (Existence Trilogy, #1)",eng,3.95,51368,52621,3285,paranormal,young-adult,romance
2273,Existentialism Is a Humanism,Jean-Paul Sartre,108,Philosophy,2007,Yale University Press,4.0,7,NOT_MATURE,,False,7197,7198,51985,78,1946.0,L'Existentialisme est un humanisme ,Existentialism Is a Humanism,en-GB,3.96,12493,15055,569,philosophy,non-fiction,existentialism
2274,Exit to Eden,Anne Rampling,384,Fiction,2013-07-30,Harper Collins,3.0,20,MATURE,9.74,True,8268,8269,43799,33,1985.0,Exit to Eden,Exit to Eden,eng,3.55,11846,13778,429,erotica,fiction,anne-rice
2275,Exodus,Leon Uris,608,Fiction,2011-09-27,Open Road Media,3.0,35,NOT_MATURE,,False,1157,1158,42697,79,1958.0,Exodus,Exodus,eng,4.33,77258,79096,1442,historical-fiction,fiction,classics
2276,"Experiencing God: Knowing and Doing the Will of God, Workbook",Henry T. Blackaby,341,Religion,2008,B&H Publishing Group,4.5,164,NOT_MATURE,,False,3971,3972,356373,5,1976.0,Experiencing God : Knowing and Doing His Will - Workbook,"Experiencing God: Knowing and Doing the Will of God, Workbook",,4.32,21778,22050,224,christian,non-fiction,christianity
2277,"Explosive Eighteen (Stephanie Plum, #18)",Janet Evanovich,334,Fiction,2012-05,Bantam,3.0,1066,NOT_MATURE,,False,2263,2264,11746513,33,2011.0,Explosive Eighteen,"Explosive Eighteen (Stephanie Plum, #18)",eng,3.92,52993,59894,4637,mystery,janet-evanovich,fiction
2278,Extra Yarn (E. B. White Read-Aloud Award. Picture Books),Mac Barnett,40,Children's stories,2014-01,,4.0,1,NOT_MATURE,,False,8912,8913,12065943,11,2012.0,,Extra Yarn (E. B. White Read-Aloud Award. Picture Books),eng,4.07,12679,12711,1297,picture-books,picture-book,childrens
2279,"Extras (Uglies, #4)",Scott Westerfeld,416,Juvenile Fiction,2011-05-03,Simon and Schuster,3.5,97,NOT_MATURE,,False,1397,1398,493456,52,2006.0,Extras,"Extras (Uglies, #4)",en-US,3.59,85873,90780,4945,young-adult,dystopian,dystopia
2280,"Extreme Measures (Mitch Rapp, #11)",Vince Flynn,448,Fiction,2009-01-05,Simon and Schuster,,,NOT_MATURE,,False,3189,3190,3313418,39,2008.0,Extreme Measures,"Extreme Measures (Mitch Rapp, #11)",eng,4.32,32211,35081,826,vince-flynn,fiction,thriller
2281,"Extreme Prey (Lucas Davenport, #26)",John Sandford,416,Fiction,2016-04-26,Penguin,4.0,15,NOT_MATURE,9.99,True,7907,7908,26061591,19,2016.0,,"Extreme Prey (Lucas Davenport, #26)",en-US,4.29,6256,13129,1214,,,
2282,Extremely Loud and Incredibly Close,Jonathan Safran Foer,368,Fiction,2013-09-03,Houghton Mifflin Harcourt,4.0,453,NOT_MATURE,9.99,True,248,249,4588,104,2005.0,Extremely Loud and Incredibly Close,Extremely Loud and Incredibly Close,en-US,3.97,294726,319116,21107,fiction,contemporary,historical-fiction
2283,Eye of the Needle,Ken Follett,416,Fiction,2015-07-07,Penguin,4.0,42,NOT_MATURE,11.99,True,881,882,92364,144,1978.0,Storm Island,Eye of the Needle,en-US,4.16,93475,99971,1990,fiction,thriller,historical-fiction
2284,"Eye of the Storm (Sean Dillon, #1)",Jack Higgins,352,Fiction,1993-07-01,Penguin,3.0,4,NOT_MATURE,7.99,True,8145,8146,337623,49,1992.0,Eye of the Storm,"Eye of the Storm (Sean Dillon, #1)",eng,3.96,11724,12202,120,thriller,fiction,jack-higgins
2285,"Eyes Wide Open (The Blackstone Affair, #3)",Raine Miller,338,Fiction,2013-08-20,Simon and Schuster,,,MATURE,,False,4311,4312,16122643,23,2013.0,Eyes wide open,"Eyes Wide Open (The Blackstone Affair, #3)",eng,4.14,36054,36780,1832,romance,series,erotica
2286,"Eyes of Prey (Lucas Davenport, #3)",John Sandford,464,Fiction,1992-03-01,Penguin,4.0,18,NOT_MATURE,9.99,True,6560,6561,37297,38,1991.0,Eyes of Prey,"Eyes of Prey (Lucas Davenport, #3)",en-US,4.18,16249,18159,499,mystery,john-sandford,fiction
2287,"F is for Fugitive (Kinsey Millhone, #6)",Sue Grafton,262,Fiction,2010-04-01,Holt Paperbacks,3.0,25,NOT_MATURE,8.99,True,5238,5239,169211,62,1988.0,F is for Fugitive,"F is for Fugitive (Kinsey Millhone, #6)",eng,3.9,24842,26673,557,mystery,sue-grafton,fiction
2288,F*ck Love,Tarryn Fisher,266,Dreams,2016-01-14,,,,NOT_MATURE,,False,8136,8137,25828204,11,2015.0,,F*ck Love,,4.13,12203,15280,2691,romance,new-adult,contemporary
2289,FRUiTS,Shoichi Aoki,304,Photography,2001-01-06,Phaidon Press,4.0,3,NOT_MATURE,,False,8051,8052,46913,1,2001.0,,FRUiTS,en-US,3.94,9397,9397,64,fashion,art,non-fiction
2290,"Fablehaven (Fablehaven, #1)",Brandon Mull,351,Juvenile Fiction,2007-04-24,Simon and Schuster,4.0,178,NOT_MATURE,,False,1031,1032,44652,51,2006.0,Fablehaven,"Fablehaven (Fablehaven, #1)",eng,4.08,99390,104185,8486,fantasy,middle-grade,young-adult
2291,Fables and Reflections (The Sandman #6),Neil Gaiman,,Comics & Graphic Novels,2011-09-06,DC,3.5,3,NOT_MATURE,19.99,True,3085,3086,25106,36,1990.0,The Sandman: Fables and Reflections,Fables and Reflections (The Sandman #6),eng,4.45,35930,40028,892,graphic-novels,comics,graphic-novel
2292,"Fables, Vol. 10: The Good Prince",Bill Willingham,,Comics & Graphic Novels,2008-06-17,DC,,,NOT_MATURE,17.99,True,8981,8982,2147714,10,2008.0,"Fables, Volume 10: The Good Prince","Fables, Vol. 10: The Good Prince",eng,4.37,13566,13740,570,fantasy,comics,cómics
2293,"Fables, Vol. 1: Legends in Exile",Bill Willingham,128,Comics & Graphic Novels,2002-12-01,DC,4.0,71,NOT_MATURE,12.99,True,1076,1077,21326,28,2001.0,"Fables, Volume 1: Legends in Exile","Fables, Vol. 1: Legends in Exile",eng,3.99,101016,104260,2845,graphic-novels,comics,fantasy
2294,"Fables, Vol. 2: Animal Farm",Bill Willingham,,Comics & Graphic Novels,2003-08-01,DC,,,NOT_MATURE,14.99,True,5397,5398,167010,17,2003.0,"Fables, Volume 2: Animal Farm","Fables, Vol. 2: Animal Farm",eng,4.12,23951,24620,1113,graphic-novels,comics,fantasy
2295,"Fables, Vol. 3: Storybook Love",Bill Willingham,,Comics & Graphic Novels,2004-05-01,DC,,,NOT_MATURE,17.99,True,5992,5993,21329,17,2004.0,"Fables, Volume 3: Storybook Love","Fables, Vol. 3: Storybook Love",eng,4.15,24730,25171,791,graphic-novels,fantasy,comics
2296,"Fables, Vol. 4: March of the Wooden Soldiers",Bill Willingham,,Comics & Graphic Novels,2004-11-01,Vertigo,,,NOT_MATURE,17.99,True,4873,4874,21325,12,2004.0,"Fables, Volume 4: March of the Wooden Soldiers","Fables, Vol. 4: March of the Wooden Soldiers",eng,4.29,23624,23961,689,graphic-novels,comics,fantasy
2297,"Fables, Vol. 5: The Mean Seasons",Bill Willingham,,Comics & Graphic Novels,2005-04-01,DC,,,NOT_MATURE,17.99,True,7659,7660,21330,15,2005.0,"Fables, Volume 5: The Mean Seasons","Fables, Vol. 5: The Mean Seasons",eng,4.19,17909,18221,545,graphic-novels,fantasy,comics
2298,"Fables, Vol. 6: Homelands",Bill Willingham,,Comics & Graphic Novels,2006-01-01,Vertigo,,,NOT_MATURE,17.99,True,6410,6411,21328,10,2006.0,"Fables, Volume 6: Homelands","Fables, Vol. 6: Homelands",eng,4.3,18893,19219,585,graphic-novel,cómics,graphic-novels
2299,"Fables, Vol. 7: Arabian Nights [and Days] (Fables, #7)",Bill Willingham,,Comics & Graphic Novels,2006-06-28,Vertigo,,,NOT_MATURE,14.99,True,9212,9213,21327,15,2006.0,"Fables, Volume 7: Arabian Nights (and Days)","Fables, Vol. 7: Arabian Nights [and Days] (Fables, #7)",eng,4.1,13772,14055,485,graphic-novels,comics,fantasy
2300,"Fables, Vol. 8: Wolves",Bill Willingham,,Comics & Graphic Novels,2006-12-06,DC,,,NOT_MATURE,17.99,True,8073,8074,21324,12,2006.0,"Fables, Volume 8: Wolves","Fables, Vol. 8: Wolves",eng,4.28,15530,15795,519,graphic-novels,comics,fantasy
2301,"Fables, Vol. 9: Sons of Empire",Bill Willingham,,Characters and characteristics in literature,2011,,,,NOT_MATURE,,False,8242,8243,158988,11,2007.0,"Fables, Volume 9: Sons of Empire","Fables, Vol. 9: Sons of Empire",eng,4.24,15232,15419,399,graphic-novels,comics,fantasy
2302,"Face the Fire (Three Sisters Island, #3)",Nora Roberts,384,Fiction,2002-05-28,Penguin,4.0,30,NOT_MATURE,7.99,True,4120,4121,59822,73,2002.0,"Face the Fire (Three Sisters Island, #3)","Face the Fire (Three Sisters Island, #3)",eng,4.15,27206,30556,691,romance,nora-roberts,paranormal
2303,"Faceless Killers (Kurt Wallander, #1)",Henning Mankell,284,Fiction,2011-05-10,The New Press,3.5,71,NOT_MATURE,26.99,True,2210,2211,935308,142,1991.0,Mördare utan ansikte,"Faceless Killers (Kurt Wallander, #1)",eng,3.78,43861,49558,2598,mystery,crime,fiction
2304,Facing Your Giants: A David and Goliath Story for Everyday People,Max Lucado,240,Religion,2013-04-29,Thomas Nelson,4.5,119,NOT_MATURE,9.99,True,6781,6782,74169,26,2006.0,Facing Your Giants: The God Who Made a Miracle Out of David Stands Ready to Make One Out of You,Facing Your Giants: A David and Goliath Story for Everyday People,,4.43,11691,11915,298,christian,non-fiction,max-lucado
2305,Factotum,Charles Bukowski,208,Fiction,2009-10-13,Harper Collins,3.5,19,NOT_MATURE,11.99,True,2343,2344,497199,80,1975.0,Factotum,Factotum,,3.96,37376,40444,1213,fiction,bukowski,classics
2306,"Fade (Wake, #2)",Lisa McMann,272,Juvenile Fiction,2010-08-05,Simon and Schuster,4.0,63,NOT_MATURE,,False,3217,3218,3657138,45,2009.0,Fade,"Fade (Wake, #2)",eng,3.95,42540,44487,2316,young-adult,paranormal,fantasy
2307,Fade Away (Myron Bolitar #3),Harlan Coben,336,Fiction,2008-09-16,Delacorte Press,4.0,3,NOT_MATURE,7.99,True,7052,7053,272607,63,1996.0,Fade Away,Fade Away (Myron Bolitar #3),eng,3.99,14679,17622,773,mystery,harlan-coben,fiction
2308,"Fade Out (The Morganville Vampires, #7)",Rachel Caine,256,Juvenile Fiction,2011-01-27,Penguin UK,,,NOT_MATURE,,False,4445,4446,6289938,30,2009.0,Fade Out,"Fade Out (The Morganville Vampires, #7)",en-US,4.2,32918,34915,854,vampires,young-adult,paranormal
2309,"Faefever (Fever, #3)",Karen Marie Moning,352,Fiction,2008-09-16,Delacorte Press,4.0,111,NOT_MATURE,2.99,True,1945,1946,2702704,45,2008.0,Faefever,"Faefever (Fever, #3)",en-US,4.34,68452,76689,3989,urban-fantasy,paranormal,paranormal-romance
2310,Faeries,Brian Froud,192,Art,1979-10-01,Bantam,4.5,16,NOT_MATURE,,False,2190,2191,887201,29,1978.0,Faeries,Faeries,,3.89,38050,38793,214,art,fantasy,non-fiction
2311,Fahrenheit 451,Ray Bradbury,158,Book burning,1967,Dramatic Publishing,4.0,8,NOT_MATURE,,False,47,48,4381,507,1953.0,Fahrenheit 451,Fahrenheit 451,spa,3.97,570498,1176240,30694,classics,fiction,science-fiction
2312,Fahrenheit 451: The Authorized Adaptation,Tim Hamilton,148,Comics & Graphic Novels,2009-07-21,Macmillan,3.5,6,NOT_MATURE,,False,7710,7711,5199185,17,2009.0,Fahrenheit 451: The Authorized Adaptation,Fahrenheit 451: The Authorized Adaptation,eng,3.92,11809,12229,564,graphic-novels,graphic-novel,science-fiction
2313,"Fair Game (Alpha & Omega, #3)",Patricia Briggs,291,Fiction,2013,Penguin,4.0,62,NOT_MATURE,,False,4996,4997,7942786,16,2012.0,,"Fair Game (Alpha & Omega, #3)",en-US,4.34,28322,34984,2193,urban-fantasy,fantasy,paranormal
2314,Fairest,Gail Carson Levine,352,Juvenile Fiction,2012-12-26,Harper Collins,4.0,71,NOT_MATURE,6.24,True,3131,3132,183660,19,2006.0,Fairest,Fairest,eng,3.86,50719,52327,3793,fantasy,young-adult,fairy-tales
2315,"Fairest (An Unfortunate Fairy Tale, #2)",Chanda Hahn,246,Juvenile Fiction,2012-06-01,Chanda Hahn,4.5,3,NOT_MATURE,3.99,True,6770,6771,14745338,8,2012.0,,"Fairest (An Unfortunate Fairy Tale, #2)",en-US,4.12,16315,16463,956,fantasy,young-adult,fairy-tales
2316,"Fairest (The Lunar Chronicles, #3.5)",Marissa Meyer,272,Young Adult Fiction,2015-01-27,Feiwel & Friends,3.5,56,NOT_MATURE,7.8,True,2253,2254,22489107,27,2015.0,Fairest,"Fairest (The Lunar Chronicles, #3.5)",eng,4.02,59545,65495,10066,young-adult,fantasy,sci-fi
2317,"Fairy Tail, Vol. 1 (Fairy Tail, #1)",Hiro Mashima,195,Comics & Graphic Novels,2010,Del Rey Books,4.0,7,NOT_MATURE,,False,1509,1510,2454986,22,2006.0,Fairy Tail 1,"Fairy Tail, Vol. 1 (Fairy Tail, #1)",eng,4.4,65477,66294,667,manga,fantasy,fairy-tail
